time,open,high,low,close,volume
2025-06-05 00:00:00,10000.0,10016.09,9989.62,10012.63,182
2025-06-05 00:01:00,10014.72,10043.06,10004.26,10030.81,369
2025-06-05 00:02:00,9994.84,10016.02,9967.18,10014.93,404
2025-06-05 00:03:00,9986.62,10003.02,9963.91,9998.19,356
2025-06-05 00:04:00,9977.99,9983.11,9960.06,9965.05,196
2025-06-05 00:05:00,9948.93,9962.61,9931.93,9959.6,389
2025-06-05 00:06:00,9956.6,9962.29,9941.94,9950.57,332
2025-06-05 00:07:00,9953.45,9961.96,9940.06,9961.49,477
2025-06-05 00:08:00,9907.33,9923.27,9894.8,9902.73,189
2025-06-05 00:09:00,9839.06,9864.33,9833.7,9847.11,264
2025-06-05 00:10:00,9834.05,9856.97,9826.76,9838.11,259
2025-06-05 00:11:00,9826.4,9834.75,9815.08,9830.92,228
2025-06-05 00:12:00,9811.58,9831.98,9794.67,9813.48,160
2025-06-05 00:13:00,9829.86,9849.58,9812.2,9816.0,304
2025-06-05 00:14:00,9823.6,9843.48,9814.19,9826.85,486
2025-06-05 00:15:00,9795.09,9813.2,9765.37,9808.75,184
2025-06-05 00:16:00,9776.25,9782.05,9761.1,9781.63,129
2025-06-05 00:17:00,9790.38,9801.92,9761.56,9792.74,383
2025-06-05 00:18:00,9785.02,9814.84,9760.41,9807.52,161
2025-06-05 00:19:00,9732.78,9755.02,9705.4,9744.29,366
2025-06-05 00:20:00,9715.49,9743.87,9704.41,9716.98,157
2025-06-05 00:21:00,9708.28,9737.1,9693.84,9732.17,158
2025-06-05 00:22:00,9705.44,9710.85,9694.1,9703.92,238
2025-06-05 00:23:00,9676.22,9686.45,9662.76,9673.55,440
2025-06-05 00:24:00,9649.47,9658.12,9625.27,9629.17,377
2025-06-05 00:25:00,9645.77,9657.12,9624.08,9631.56,116
2025-06-05 00:26:00,9635.67,9663.91,9613.77,9619.25,259
2025-06-05 00:27:00,9645.48,9664.97,9635.78,9638.57,316
2025-06-05 00:28:00,9685.12,9690.52,9679.93,9686.65,428
2025-06-05 00:29:00,9705.17,9721.53,9693.73,9714.08,293
2025-06-05 00:30:00,9714.64,9726.27,9689.6,9695.73,192
2025-06-05 00:31:00,9725.87,9735.03,9718.67,9726.86,318
2025-06-05 00:32:00,9656.5,9673.92,9639.49,9657.96,391
2025-06-05 00:33:00,9625.16,9632.59,9612.35,9620.53,352
