Gmt time,open,high,low,close,volume
04.05.2003 00:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 01:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 02:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 03:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 04:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 05:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 06:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 07:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 08:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 09:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 10:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 11:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 12:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 13:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 14:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 15:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 16:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 17:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 18:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 19:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 20:00:00.000,1.12284,1.12284,1.12284,1.12284,0
04.05.2003 21:00:00.000,1.12284,1.12338,1.12242,1.12305,29059099.6094
04.05.2003 22:00:00.000,1.12274,1.12302,1.12226,1.12241,26091800.7813
04.05.2003 23:00:00.000,1.12235,1.12235,1.12160,1.12169,29240900.3906
05.05.2003 00:00:00.000,1.12161,1.12314,1.12154,1.12258,29914800.7813
05.05.2003 01:00:00.000,1.12232,1.12262,1.12099,1.12140,28370699.2188
05.05.2003 02:00:00.000,1.12141,1.12211,1.12085,1.12152,29867699.2188
05.05.2003 03:00:00.000,1.12123,1.12179,1.12049,1.12162,27256800.7813
05.05.2003 04:00:00.000,1.12098,1.12176,1.12079,1.12122,28278900.3906
05.05.2003 05:00:00.000,1.12129,1.12222,1.12091,1.12143,26764900.3906
05.05.2003 06:00:00.000,1.12128,1.12241,1.12066,1.12088,29956599.6094
05.05.2003 07:00:00.000,1.12103,1.12203,1.12014,1.12143,27322800.7813
05.05.2003 08:00:00.000,1.12129,1.12205,1.12054,1.12093,25939900.3906
05.05.2003 09:00:00.000,1.12082,1.12161,1.12042,1.12118,27366000
05.05.2003 10:00:00.000,1.12090,1.12289,1.12071,1.12213,27687500
05.05.2003 11:00:00.000,1.12252,1.12321,1.12144,1.12241,27812599.6094
05.05.2003 12:00:00.000,1.12248,1.12276,1.12117,1.12154,27855400.3906
05.05.2003 13:00:00.000,1.12174,1.12349,1.12120,1.12284,26335699.2188
05.05.2003 14:00:00.000,1.12280,1.12457,1.12206,1.12420,26436099.6094
05.05.2003 15:00:00.000,1.12432,1.12828,1.12251,1.12764,26947199.2188
05.05.2003 16:00:00.000,1.12732,1.12890,1.12631,1.12698,292878406.25
05.05.2003 17:00:00.000,1.12698,1.13009,1.12646,1.12892,135829796.875
05.05.2003 18:00:00.000,1.12918,1.12981,1.12762,1.12819,146120296.875
05.05.2003 19:00:00.000,1.12798,1.12924,1.12756,1.12764,107658703.125
05.05.2003 20:00:00.000,1.12783,1.12860,1.12735,1.12774,63229800.7813
05.05.2003 21:00:00.000,1.12728,1.12922,1.12728,1.12908,29232800.7813
05.05.2003 22:00:00.000,1.12890,1.12952,1.12803,1.12858,26955800.7813
05.05.2003 23:00:00.000,1.12861,1.12983,1.12860,1.12924,29986400.3906
06.05.2003 00:00:00.000,1.12921,1.12994,1.12831,1.12897,29251199.2188
06.05.2003 01:00:00.000,1.12882,1.12951,1.12774,1.12776,29633699.2188
06.05.2003 02:00:00.000,1.12771,1.12882,1.12735,1.12768,30240099.6094
06.05.2003 03:00:00.000,1.12747,1.12861,1.12734,1.12790,27435599.6094
06.05.2003 04:00:00.000,1.12792,1.12899,1.12765,1.12851,27480699.2188
06.05.2003 05:00:00.000,1.12846,1.12892,1.12771,1.12811,25228099.6094
06.05.2003 06:00:00.000,1.12839,1.12881,1.12723,1.12823,28644800.7813
06.05.2003 07:00:00.000,1.12817,1.12981,1.12768,1.12930,26561199.2188
06.05.2003 08:00:00.000,1.12956,1.13402,1.12933,1.13361,25829000
06.05.2003 09:00:00.000,1.13373,1.13426,1.13199,1.13274,27161099.6094
06.05.2003 10:00:00.000,1.13294,1.13445,1.13181,1.13336,27024199.2188
06.05.2003 11:00:00.000,1.13377,1.13572,1.13289,1.13361,26307000
06.05.2003 12:00:00.000,1.13316,1.13646,1.13295,1.13436,28336900.3906
06.05.2003 13:00:00.000,1.13424,1.13538,1.13184,1.13262,27186000
06.05.2003 14:00:00.000,1.13234,1.13376,1.13103,1.13258,27962400.3906
06.05.2003 15:00:00.000,1.13325,1.13473,1.13114,1.13380,26345000
06.05.2003 16:00:00.000,1.13409,1.13636,1.13304,1.13500,295778687.5
06.05.2003 17:00:00.000,1.13520,1.13609,1.13354,1.13373,138287796.875
